# DC Glow Discharge Radial Solver — Air Plasma
# Cathode radius   : 23.145 mm
# Chamber radius   : 140.0 mm
# Current          : 20.00 mA
# Cathode voltage  : -550.0 V
# Pressure         : 0.0400 Torr
# Gas              : Air (80% N2 / 20% O2)
#
# Columns
#   r_m    — radial position [m]
#   r_mm   — radial position [mm]
#   ne_m3  — electron density [m^-3]
#   ne_cm3 — electron density [cm^-3]
#   ni_m3  — ion density [m^-3]
#   ni_cm3 — ion density [cm^-3]
#   Te_eV  — electron temperature [eV]
#   phi_V  — electric potential [V]
#   E_Vm   — radial electric field [V/m]
r_m,r_mm,ne_m3,ne_cm3,ni_m3,ni_cm3,Te_eV,phi_V,E_Vm
6.853980e-02,68.5398,1.318199e+16,1.318199e+10,1.353420e+16,1.353420e+10,1.3071,-235.4386,-3294.6814
6.883267e-02,68.8327,1.317322e+16,1.317322e+10,1.352335e+16,1.352335e+10,1.3063,-234.4737,-3294.6814
6.912554e-02,69.1255,1.316434e+16,1.316434e+10,1.351241e+16,1.351241e+10,1.3056,-233.5088,-3294.6814
6.941841e-02,69.4184,1.315534e+16,1.315534e+10,1.350138e+16,1.350138e+10,1.3049,-232.5439,-3294.6814
6.971128e-02,69.7113,1.314623e+16,1.314623e+10,1.349025e+16,1.349025e+10,1.3042,-231.5789,-3294.6814
7.000415e-02,70.0041,1.313701e+16,1.313701e+10,1.347904e+16,1.347904e+10,1.3035,-230.6140,-3294.6814
7.029702e-02,70.2970,1.312769e+16,1.312769e+10,1.346773e+16,1.346773e+10,1.3028,-229.6491,-3294.6814
7.058989e-02,70.5899,1.311826e+16,1.311826e+10,1.345633e+16,1.345633e+10,1.3021,-228.6842,-3294.6814
7.088276e-02,70.8828,1.310872e+16,1.310872e+10,1.344485e+16,1.344485e+10,1.3014,-227.7193,-3294.6814
7.117563e-02,71.1756,1.309908e+16,1.309908e+10,1.343328e+16,1.343328e+10,1.3007,-226.7544,-3294.6814
7.146850e-02,71.4685,1.308933e+16,1.308933e+10,1.342163e+16,1.342163e+10,1.3000,-225.7895,-3294.6814
7.176137e-02,71.7614,1.307949e+16,1.307949e+10,1.340989e+16,1.340989e+10,1.2994,-224.8246,-3294.6814
7.205424e-02,72.0542,1.306954e+16,1.306954e+10,1.339807e+16,1.339807e+10,1.2987,-223.8596,-3294.6814
7.234711e-02,72.3471,1.305950e+16,1.305950e+10,1.338616e+16,1.338616e+10,1.2980,-222.8947,-3294.6814
7.263997e-02,72.6400,1.304936e+16,1.304936e+10,1.337418e+16,1.337418e+10,1.2974,-221.9298,-3294.6814
7.293284e-02,72.9328,1.303912e+16,1.303912e+10,1.336211e+16,1.336211e+10,1.2968,-220.9649,-3294.6814
7.322571e-02,73.2257,1.302879e+16,1.302879e+10,1.334997e+16,1.334997e+10,1.2961,-220.0000,-3294.6814
7.351858e-02,73.5186,1.301837e+16,1.301837e+10,1.333775e+16,1.333775e+10,1.2955,-219.0351,-3294.6814
7.381145e-02,73.8115,1.300785e+16,1.300785e+10,1.332545e+16,1.332545e+10,1.2949,-218.0702,-3294.6814
7.410432e-02,74.1043,1.299724e+16,1.299724e+10,1.331307e+16,1.331307e+10,1.2943,-217.1053,-3294.6814
7.439719e-02,74.3972,1.298654e+16,1.298654e+10,1.330062e+16,1.330062e+10,1.2936,-216.1404,-3294.6814
7.469006e-02,74.6901,1.297575e+16,1.297575e+10,1.328809e+16,1.328809e+10,1.2930,-215.1754,-3294.6814
7.498293e-02,74.9829,1.296487e+16,1.296487e+10,1.327549e+16,1.327549e+10,1.2924,-214.2105,-3294.6814
7.527580e-02,75.2758,1.295390e+16,1.295390e+10,1.326282e+16,1.326282e+10,1.2918,-213.2456,-3294.6814
7.556867e-02,75.5687,1.294285e+16,1.294285e+10,1.325007e+16,1.325007e+10,1.2913,-212.2807,-3294.6814
7.586154e-02,75.8615,1.293171e+16,1.293171e+10,1.323726e+16,1.323726e+10,1.2907,-211.3158,-3294.6814
7.615441e-02,76.1544,1.292049e+16,1.292049e+10,1.322437e+16,1.322437e+10,1.2901,-210.3509,-3294.6814
7.644728e-02,76.4473,1.290919e+16,1.290919e+10,1.321141e+16,1.321141e+10,1.2895,-209.3860,-3294.6814
7.674015e-02,76.7402,1.289780e+16,1.289780e+10,1.319839e+16,1.319839e+10,1.2890,-208.4211,-3294.6814
7.703302e-02,77.0330,1.288633e+16,1.288633e+10,1.318530e+16,1.318530e+10,1.2884,-207.4561,-3294.6814
7.732589e-02,77.3259,1.287478e+16,1.287478e+10,1.317213e+16,1.317213e+10,1.2879,-206.4912,-3294.6814
7.761876e-02,77.6188,1.286315e+16,1.286315e+10,1.315891e+16,1.315891e+10,1.2873,-205.5263,-3294.6814
7.791163e-02,77.9116,1.285144e+16,1.285144e+10,1.314561e+16,1.314561e+10,1.2868,-204.5614,-3294.6814
